t_s,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.086,0.607201,-0.988081,0.38088,-0.0186582,0.108361,-0.0897028,0.289034,-0.494432,0.205398,0.0389936,-0.163064,0.124071,0.0203354,-0.0547032,0.0343678,1.00326,0.993652,0,0.118652,0.000488281,0.187012,-0.543823,-0.19519,0.0124512,-0.0765381,0.0129395,0.00378418,-0.00524902,-0.00280762,0.00927734,0.0351563,0.0280762,-0.0262451,0.00708008,-0.0290527,0.0163574,0.911743
0.088,0.946287,-0.707349,-0.238937,-0.0767856,0.111949,-0.0351635,0.35299,-0.610045,0.257055,0.116981,-0.189651,0.0726699,0.0401952,-0.0777016,0.0375064,1.00039,0.988892,0,0.114868,-0.0108643,0.149292,-0.615356,-0.159058,0.0567627,-0.0441895,0.0458984,-0.00012207,0.0045166,-0.00866699,0,0.0262451,-0.0198975,-0.0100098,0.0238037,-0.0186768,0.0238037,0.911621
0.09,0.947075,-0.150617,-0.796458,-0.10549,0.0739151,0.0315754,0.364059,-0.582987,0.218928,0.168381,-0.125843,-0.0425385,0.062891,-0.0519279,-0.0109631,1.00203,1.00989,0,0.115723,-0.0117188,0.18335,-0.557129,-0.185181,0.00622559,-0.069458,-0.00549316,0.010376,0.0183105,-0.00500488,0.00231934,-0.000732422,0.00366211,0.00866699,0.000488281,0.00366211,0.00280762,0.911621
0.092,0.563829,0.437658,-1.00149,-0.0947261,-0.00143524,0.0961614,0.383738,-0.565768,0.18203,0.14534,-0.0124071,-0.132933,0.0506136,-0.0138423,-0.0367713,1.00121,0.982788,0,0.119751,-0.00976563,0.216675,-0.562134,-0.187378,0.0100098,-0.067627,0.000244141,0.0136719,0.00427246,-0.010376,-0.00012207,-0.0372314,-0.012085,0.0100098,0.0185547,-0.000366211,0.0184326,0.911621
0.094,-0.0449486,0.879258,-0.834309,-0.0401868,-0.0681741,0.108361,0.383738,-0.562078,0.17834,0.0673526,0.0797596,-0.147112,0.0271657,0.0115855,-0.0387513,1.00285,1.01709,0,0.114258,0.00158691,0.145996,-0.535889,-0.141235,-0.0012207,-0.0269775,0.000366211,0.00256348,-0.00695801,0.00390625,-0.0128174,0.017334,0.00695801,-0.0109863,-0.00012207,-0.00708008,-0.0129395,0.911743
0.096,-0.601681,0.994389,-0.392709,0.0337282,-0.108361,0.0746327,0.412027,-0.52395,0.111924,-0.0620353,0.171926,-0.109891,-0.028307,0.0635654,-0.0352583,1.0008,1.00464,0,0.110962,0.00427246,0.203491,-0.543091,-0.181519,0.00366211,-0.0705566,0.00793457,0.00793457,0.00512695,0.00244141,-0.0065918,0.0244141,-0.0281982,-0.0140381,0.0305176,-0.0115967,0.0239258,0.911865
0.098,-0.937612,0.714446,0.223166,0.0897028,-0.113384,0.0236815,0.52149,-0.555928,0.0344381,-0.143567,0.150657,-0.00708973,-0.0538646,0.0372728,0.0165918,0.99957,0.989258,0,0.107666,-0.00292969,0.165405,-0.573364,-0.167358,0.0222168,-0.0596924,0.0192871,-0.0106201,0.0117188,0.000488281,-0.0119629,0.0184326,-0.0292969,-0.0134277,0.0249023,-0.0129395,0.0129395,0.911987
0.1,-0.946287,0.164812,0.781475,0.119843,-0.0710446,-0.0487983,0.493202,-0.558388,0.0651863,-0.163064,0.113436,0.0496282,-0.0432212,0.0423913,0.000829914,1.00121,1.00037,0,0.121704,0.00305176,0.185547,-0.555542,-0.165771,-0.0113525,-0.0440674,-0.00830078,0.00256348,0.0137939,0.00402832,0.00427246,0.0150146,-0.0186768,-0.00537109,0.0187988,-0.00134277,0.0230713,0.912109
0.102,-0.554366,-0.428195,0.982561,0.11769,0.00430573,-0.121996,0.52026,-0.51903,-0.0012299,-0.175471,-0.00708974,0.182561,-0.0577811,-0.00278401,0.0605652,1.0008,0.981079,0,0.135376,-0.00231934,0.233398,-0.59436,-0.224243,0.00109863,-0.0888672,-0.0012207,-0.00549316,0.000244141,-0.00256348,0.0125732,-0.0202637,0.0202637,0.0317383,0.00622559,0.0291748,0.0187988,0.912231
0.104,0.0520458,-0.872949,0.820904,0.0509512,0.0746327,-0.125584,0.52395,-0.504271,-0.0196788,-0.0638077,-0.127615,0.191423,-0.0128565,-0.0529827,0.0658392,1.00203,1.00793,0,0.128784,0.00878906,0.185669,-0.564941,-0.182495,-0.00854492,-0.0537109,0.000244141,0.000610352,-0.0196533,0.00732422,0.00231934,0.0012207,-0.00109863,-0.00219727,0.00341797,0.00512695,0.0057373,0.912109
0.106,0.611932,-0.992024,0.380092,-0.0179406,0.106926,-0.0889851,0.53379,-0.425556,-0.108234,0.108119,-0.242824,0.134705,0.090178,-0.135898,0.04572,1.00367,0.996338,0,0.115112,0.000366211,0.240601,-0.547119,-0.239746,-0.0213623,-0.124634,-0.0209961,0.000366211,-0.0111084,-0.00671387,0.00732422,0.0123291,-0.0251465,-0.00561523,0.0352783,-0.0123291,0.0426025,0.911987
0.108,0.950229,-0.708926,-0.241303,-0.0724798,0.10549,-0.0330106,0.565768,-0.429246,-0.136522,0.191423,-0.219782,0.028359,0.118943,-0.114292,-0.00465165,1.00408,0.990845,0,0.111206,-0.00817871,0.206421,-0.553955,-0.218506,-0.0128174,-0.1073,-0.0209961,-0.00158691,0.00317383,-0.012085,0.00158691,0.00756836,-0.020874,0.00280762,0.0180664,-0.00927734,0.0196533,0.911865
0.11,0.952595,-0.153772,-0.798824,-0.107643,0.0681741,0.0394692,0.570687,-0.424326,-0.146362,0.212692,-0.122298,-0.0903942,0.105049,-0.054124,-0.050925,1.0008,1.00806,0,0.118408,-0.0102539,0.227539,-0.530396,-0.218018,-0.0250244,-0.0996094,-0.0352783,0.0119629,0.0135498,-0.00463867,0.00952148,-0.0012207,-0.0180664,0.00231934,0.0192871,-0.00231934,0.0288086,0.911743
